type;adjusted;graph;consistent;gender;management;lifestyle;dag.first;exposure
A1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;male;FALSE;TRUE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;TRUE;TRUE;FALSE;gender
A1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Chain;FALSE;female;FALSE;FALSE;FALSE;gender
A1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;gender
A1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;gender
A2;FALSE;Chain;TRUE;female;TRUE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;female;TRUE;TRUE;TRUE;gender
A2;TRUE;Fork;TRUE;male;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;FALSE;TRUE;gender
A2;FALSE;Chain;TRUE;male;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;FALSE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;male;TRUE;TRUE;TRUE;gender
A2;TRUE;Fork;TRUE;male;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;male;FALSE;FALSE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;male;TRUE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;female;FALSE;FALSE;TRUE;gender
A2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;male;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;male;FALSE;TRUE;TRUE;gender
A2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;male;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;male;FALSE;TRUE;TRUE;gender
A2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
A2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;gender
D1;FALSE;Chain;TRUE;female;FALSE;FALSE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;male;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;male;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;TRUE;FALSE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;female;TRUE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;male;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;TRUE;TRUE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;female;TRUE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;TRUE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;male;TRUE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;male;TRUE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;male;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;male;FALSE;FALSE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;male;FALSE;FALSE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;male;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;male;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Chain;TRUE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;FALSE;Fork;FALSE;female;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Fork;TRUE;male;FALSE;TRUE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;female;FALSE;FALSE;FALSE;lifestyle
D1;TRUE;Chain;FALSE;male;FALSE;FALSE;FALSE;lifestyle
D2;TRUE;Fork;TRUE;male;TRUE;TRUE;TRUE;lifestyle
D2;FALSE;Chain;TRUE;male;FALSE;FALSE;TRUE;lifestyle
D2;FALSE;Chain;TRUE;female;FALSE;FALSE;TRUE;lifestyle
D2;FALSE;Chain;TRUE;female;FALSE;FALSE;TRUE;lifestyle
D2;FALSE;Fork;FALSE;male;FALSE;FALSE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;male;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;female;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Fork;FALSE;male;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Chain;TRUE;female;FALSE;FALSE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;male;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Chain;TRUE;female;TRUE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;male;FALSE;FALSE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;FALSE;TRUE;lifestyle
D2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;FALSE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;TRUE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;male;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Chain;TRUE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Fork;FALSE;female;FALSE;FALSE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Chain;TRUE;female;FALSE;FALSE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;FALSE;Fork;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Fork;TRUE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;female;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;lifestyle
D2;TRUE;Chain;FALSE;male;FALSE;TRUE;TRUE;lifestyle
